timestamp,elapsed_s,linear_x,angular_z
1773717207.710,22.81,0.2000,0.0000
1773717207.740,22.84,0.2000,0.0000
1773717207.788,22.89,0.2000,0.0000
1773717207.823,22.92,0.2000,0.0000
1773717207.872,22.97,0.2000,0.0000
1773717207.890,22.99,0.2000,0.0000
1773717207.933,23.03,0.2000,0.0000
1773717207.953,23.05,0.2000,0.0000
1773717208.004,23.10,0.2000,0.0000
1773717208.048,23.15,0.2000,0.0000
1773717208.072,23.17,0.2000,0.0000
1773717208.114,23.21,0.2000,0.0000
1773717208.148,23.25,0.2000,0.0000
1773717208.172,23.27,0.2000,0.0000
1773717208.227,23.33,0.2000,0.0000
1773717208.259,23.36,0.2000,0.0000
1773717208.306,23.40,0.2000,0.0000
1773717208.357,23.46,0.2000,0.0000
1773717208.386,23.49,0.2000,0.0000
1773717208.433,23.53,0.2000,0.0000
1773717208.471,23.57,0.2000,0.0000
1773717208.506,23.60,0.2000,0.0000
1773717208.565,23.66,0.2000,0.0000
1773717208.590,23.69,0.2000,0.0000
1773717208.624,23.72,0.2000,0.0000
1773717208.687,23.79,0.2000,0.0000
1773717208.712,23.81,0.2000,0.0000
1773717208.752,23.85,0.2000,0.0000
1773717208.796,23.90,0.2000,0.0000
1773717208.834,23.93,0.2000,0.0000
1773717208.868,23.97,0.2000,0.0000
1773717208.897,24.00,0.2000,0.0000
1773717208.936,24.04,0.2000,0.0000
1773717208.994,24.09,0.2000,0.0000
1773717209.028,24.13,0.2000,0.0000
1773717209.068,24.17,0.2000,0.0000
1773717209.100,24.20,0.2000,0.0000
1773717209.140,24.24,0.2000,0.0000
1773717209.194,24.29,0.2000,0.0000
1773717209.239,24.34,0.2000,0.0000
1773717209.277,24.38,0.2000,0.0000
1773717209.325,24.42,0.2000,0.0000
1773717209.356,24.46,0.2000,0.0000
1773717209.397,24.50,0.2000,0.0000
1773717209.427,24.53,0.2000,0.0000
1773717209.475,24.57,0.2000,0.0000
1773717209.513,24.61,0.2000,0.0000
1773717209.541,24.64,0.2000,0.0000
1773717209.570,24.67,0.2000,0.0000
1773717209.605,24.70,0.2000,0.0000
1773717209.656,24.76,0.2000,0.0000
1773717209.698,24.80,0.2000,0.0000
1773717209.739,24.84,0.2000,0.0000
1773717209.803,24.90,0.2000,0.0000
1773717209.823,24.92,0.2000,0.0000
1773717209.857,24.96,0.2000,0.0000
1773717209.914,25.01,0.1400,0.2500
1773717209.942,25.04,0.1400,0.2500
1773717209.982,25.08,0.2000,0.0000
1773717210.025,25.12,0.2000,0.0000
1773717210.072,25.17,0.1400,0.2500
1773717210.096,25.20,0.1400,0.2500
1773717210.159,25.26,0.1400,0.2500
1773717210.221,25.32,0.1400,0.2500
1773717210.227,25.33,0.1400,0.2500
1773717210.285,25.38,0.2000,0.0000
1773717210.310,25.41,0.2000,0.0000
1773717210.357,25.46,0.2000,0.0000
1773717210.384,25.48,0.2000,0.0000
1773717210.405,25.50,0.2000,0.0000
1773717210.447,25.55,0.2000,0.0000
1773717210.501,25.60,0.2000,0.0000
1773717210.532,25.63,0.2000,0.0000
1773717210.567,25.67,0.2000,0.0000
1773717210.612,25.71,0.2000,0.0000
1773717210.673,25.77,0.2000,0.0000
1773717210.697,25.80,0.2000,0.0000
1773717210.725,25.82,0.2000,0.0000
1773717210.768,25.87,0.2000,0.0000
1773717210.801,25.90,0.2000,0.0000
1773717210.848,25.95,0.2000,0.0000
1773717210.882,25.98,0.2000,0.0000
1773717210.912,26.01,0.2000,0.0000
1773717210.956,26.05,0.2000,0.0000
